Emotion,Emotion_Level,Gender,Race,Ethnicity,Manipulation,Detection Score,Original Score
NEU,XX.wav,Male,Caucasian,Not Hispanic,Equalization,0.9549530744552612,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Reverberation,1.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.09009258449077606,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,1.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.9753995537757874,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.97642982006073,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.04323801025748253,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.6354270577430725,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Equalization,1.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Reverberation,1.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.13945211470127106,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,0.9632554650306702,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
ANG,HI.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.971773624420166,0.9999999403953552
ANG,HI.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9808809757232666,0.9999999403953552
ANG,HI.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.5300348401069641,0.9999999403953552
ANG,HI.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,0.9999999403953552,0.9999999403953552
ANG,HI.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.620042622089386,0.9999999403953552
ANG,HI.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,0.9999999403953552
ANG,HI.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,0.9999999403953552,0.9999999403953552
ANG,HI.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,0.9999999403953552
ANG,HI.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0,0.9999999403953552
ANG,HI.wav,Male,Caucasian,Not Hispanic,Equalization,0.9533005356788635,0.9999999403953552
ANG,HI.wav,Male,Caucasian,Not Hispanic,Reverberation,0.9999999403953552,0.9999999403953552
ANG,HI.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.28208109736442566,0.9999999403953552
ANG,HI.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.00238987198099494,0.9999999403953552
ANG,HI.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,0.9056646227836609,0.9999999403953552
ANG,HI.wav,Male,Caucasian,Not Hispanic,Clipping,0.9999999403953552,0.9999999403953552
ANG,LO.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.9725075364112854,1.0
ANG,LO.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9670997262001038,1.0
ANG,LO.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.22694863379001617,1.0
ANG,LO.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
ANG,LO.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.6270694732666016,1.0
ANG,LO.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
ANG,LO.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
ANG,LO.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
ANG,LO.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0014501510886475444,1.0
ANG,LO.wav,Male,Caucasian,Not Hispanic,Equalization,0.8849546909332275,1.0
ANG,LO.wav,Male,Caucasian,Not Hispanic,Reverberation,0.9841994047164917,1.0
ANG,LO.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.5529524087905884,1.0
ANG,LO.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
ANG,LO.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,1.0,1.0
ANG,LO.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
ANG,MD.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.976810872554779,1.0
ANG,MD.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9793953895568848,1.0
ANG,MD.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.19917012751102448,1.0
ANG,MD.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
ANG,MD.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.5898043513298035,1.0
ANG,MD.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
ANG,MD.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
ANG,MD.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
ANG,MD.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0,1.0
ANG,MD.wav,Male,Caucasian,Not Hispanic,Equalization,0.9286069869995117,1.0
ANG,MD.wav,Male,Caucasian,Not Hispanic,Reverberation,0.9633669257164001,1.0
ANG,MD.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.20713447034358978,1.0
ANG,MD.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
ANG,MD.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,0.991392970085144,1.0
ANG,MD.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
DIS,HI.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.9795829057693481,1.0
DIS,HI.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9868881106376648,1.0
DIS,HI.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.3422827124595642,1.0
DIS,HI.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
DIS,HI.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.5593780875205994,1.0
DIS,HI.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
DIS,HI.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
DIS,HI.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
DIS,HI.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0,1.0
DIS,HI.wav,Male,Caucasian,Not Hispanic,Equalization,0.8871753215789795,1.0
DIS,HI.wav,Male,Caucasian,Not Hispanic,Reverberation,0.9186438322067261,1.0
DIS,HI.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.2776867151260376,1.0
DIS,HI.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
DIS,HI.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,1.0,1.0
DIS,HI.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
DIS,LO.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.9759302735328674,1.0
DIS,LO.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9777721762657166,1.0
DIS,LO.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.10158590972423553,1.0
DIS,LO.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
DIS,LO.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.567651093006134,1.0
DIS,LO.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
DIS,LO.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
DIS,LO.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
DIS,LO.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0,1.0
DIS,LO.wav,Male,Caucasian,Not Hispanic,Equalization,0.9989385604858398,1.0
DIS,LO.wav,Male,Caucasian,Not Hispanic,Reverberation,0.9886675477027893,1.0
DIS,LO.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.32905644178390503,1.0
DIS,LO.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
DIS,LO.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,0.9804570078849792,1.0
DIS,LO.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
DIS,MD.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.9794939160346985,1.0
DIS,MD.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9713112115859985,1.0
DIS,MD.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.22471244633197784,1.0
DIS,MD.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
DIS,MD.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.4485047459602356,1.0
DIS,MD.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
DIS,MD.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
DIS,MD.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
DIS,MD.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0036805784329771996,1.0
DIS,MD.wav,Male,Caucasian,Not Hispanic,Equalization,0.9345711469650269,1.0
DIS,MD.wav,Male,Caucasian,Not Hispanic,Reverberation,1.0,1.0
DIS,MD.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.1654261350631714,1.0
DIS,MD.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0023989484179764986,1.0
DIS,MD.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,0.8984883427619934,1.0
DIS,MD.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
FEA,HI.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.966802179813385,1.0
FEA,HI.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.962577760219574,1.0
